customer_name,customer_segment,region,state,city,product_name,category,sub_category,order_date,order_month,order_year,ship_date,ship_month,ship_year,delivery_time_in_days,ship_mode,sales,quantity,discount,discount_amount,cost,profit
Claire Gute,Consumer,South,Kentucky,Henderson,Bush Somerset Collection Bookcase,Furniture,Bookcases,2013-11-09,11,2013,2013-11-12,11,2013,3,Second Class,261.96,2,0.0,0.0,220.05,41.9136
Claire Gute,Consumer,South,Kentucky,Henderson,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,2013-11-09,11,2013,2013-11-12,11,2013,3,Second Class,731.94,3,0.0,0.0,512.36,219.582
Darrin Van Huff,Corporate,West,California,Los Angeles,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,2013-06-13,6,2013,2013-06-17,6,2013,4,Second Class,14.62,2,0.0,0.0,7.75,6.8714
Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,2012-10-11,10,2012,2012-10-18,10,2012,7,Standard Class,957.5775,5,0.45,430.91,1340.61,-383.031
Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,2012-10-11,10,2012,2012-10-18,10,2012,7,Standard Class,22.368,2,0.2,4.47,19.85,2.5164
Brosina Hoffman,Consumer,West,California,Los Angeles,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,2011-06-09,6,2011,2011-06-14,6,2011,5,Standard Class,48.86,7,0.0,0.0,34.69,14.1694
Brosina Hoffman,Consumer,West,California,Los Angeles,Newell 322,Office Supplies,Art,2011-06-09,6,2011,2011-06-14,6,2011,5,Standard Class,7.28,4,0.0,0.0,5.31,1.9656
Brosina Hoffman,Consumer,West,California,Los Angeles,Mitel 5320 IP Phone VoIP phone,Technology,Phones,2011-06-09,6,2011,2011-06-14,6,2011,5,Standard Class,907.152,6,0.2,181.43,816.44,90.7152
Brosina Hoffman,Consumer,West,California,Los Angeles,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,2011-06-09,6,2011,2011-06-14,6,2011,5,Standard Class,18.504,3,0.2,3.7,12.72,5.7825
Brosina Hoffman,Consumer,West,California,Los Angeles,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,2011-06-09,6,2011,2011-06-14,6,2011,5,Standard Class,114.9,5,0.0,0.0,80.43,34.47
Brosina Hoffman,Consumer,West,California,Los Angeles,Chromcraft Rectangular Conference Tables,Furniture,Tables,2011-06-09,6,2011,2011-06-14,6,2011,5,Standard Class,1706.184,9,0.2,341.24,1620.87,85.3092
Brosina Hoffman,Consumer,West,California,Los Angeles,Konftel 250 Conference phone - Charcoal black,Technology,Phones,2011-06-09,6,2011,2011-06-14,6,2011,5,Standard Class,911.424,4,0.2,182.28,843.07,68.3568
Andrew Allen,Consumer,South,North Carolina,Concord,Xerox 1967,Office Supplies,Paper,2014-04-16,4,2014,2014-04-21,4,2014,5,Standard Class,15.552,3,0.2,3.11,10.11,5.4432
Irene Maddox,Consumer,West,Washington,Seattle,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,2013-12-06,12,2013,2013-12-11,12,2013,5,Standard Class,407.976,3,0.2,81.6,275.38,132.5922
Harold Pawlan,Home Office,Central,Texas,Fort Worth,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,2012-11-22,11,2012,2012-11-26,11,2012,4,Standard Class,68.81,5,0.8,55.05,192.67,-123.858
Harold Pawlan,Home Office,Central,Texas,Fort Worth,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,2012-11-22,11,2012,2012-11-26,11,2012,4,Standard Class,2.544,3,0.8,2.04,6.36,-3.816
Pete Kriz,Consumer,Central,Wisconsin,Madison,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,2011-11-11,11,2011,2011-11-18,11,2011,7,Standard Class,665.88,6,0.0,0.0,652.56,13.3176
Alejandro Grove,Consumer,West,Utah,West Jordan,Fellowes Super Stor/Drawer,Office Supplies,Storage,2011-05-13,5,2011,2011-05-15,5,2011,2,Second Class,55.5,2,0.0,0.0,45.51,9.99
Zuschuss Donatelli,Consumer,West,California,San Francisco,Newell 341,Office Supplies,Art,2011-08-27,8,2011,2011-09-01,9,2011,5,Second Class,8.56,2,0.0,0.0,6.08,2.4824
Zuschuss Donatelli,Consumer,West,California,San Francisco,Cisco SPA 501G IP Phone,Technology,Phones,2011-08-27,8,2011,2011-09-01,9,2011,5,Second Class,213.48,3,0.2,42.7,197.47,16.011
Zuschuss Donatelli,Consumer,West,California,San Francisco,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,2011-08-27,8,2011,2011-09-01,9,2011,5,Second Class,22.72,4,0.2,4.54,15.34,7.384
Ken Black,Corporate,Central,Nebraska,Fremont,Newell 318,Office Supplies,Art,2013-12-10,12,2013,2013-12-14,12,2013,4,Standard Class,19.46,7,0.0,0.0,14.4,5.0596
Ken Black,Corporate,Central,Nebraska,Fremont,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,2013-12-10,12,2013,2013-12-14,12,2013,4,Standard Class,60.34,7,0.0,0.0,44.65,15.6884
Sandra Flanagan,Consumer,East,Pennsylvania,Philadelphia,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,2014-07-17,7,2014,2014-07-19,7,2014,2,Second Class,71.372,2,0.3,21.41,72.39,-1.0196
Emily Burns,Consumer,West,Utah,Orem,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,2012-09-25,9,2012,2012-09-30,9,2012,5,Standard Class,1044.63,3,0.0,0.0,804.37,240.2649
Eric Hoffmann,Consumer,West,California,Los Angeles,Wilson Jones Active Use Binders,Office Supplies,Binders,2013-01-16,1,2013,2013-01-20,1,2013,4,Second Class,11.648,2,0.2,2.33,7.43,4.2224
Eric Hoffmann,Consumer,West,California,Los Angeles,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,2013-01-16,1,2013,2013-01-20,1,2013,4,Second Class,90.57,3,0.0,0.0,78.8,11.7741
Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,2012-09-17,9,2012,2012-09-21,9,2012,4,Standard Class,3083.43,7,0.5,1541.72,4748.48,-1665.0522
Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,2012-09-17,9,2012,2012-09-21,9,2012,4,Standard Class,9.618,2,0.7,6.73,16.67,-7.0532
Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,2012-09-17,9,2012,2012-09-21,9,2012,4,Standard Class,124.2,3,0.2,24.84,108.68,15.525
Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,Poly String Tie Envelopes,Office Supplies,Envelopes,2012-09-17,9,2012,2012-09-21,9,2012,4,Standard Class,3.264,2,0.2,0.65,2.16,1.1016
Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,2012-09-17,9,2012,2012-09-21,9,2012,4,Standard Class,86.304,6,0.2,17.26,76.59,9.7092
Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,2012-09-17,9,2012,2012-09-21,9,2012,4,Standard Class,6.858,6,0.7,4.8,12.57,-5.715
Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,Lumber Crayons,Office Supplies,Art,2012-09-17,9,2012,2012-09-21,9,2012,4,Standard Class,15.76,2,0.2,3.15,12.21,3.546
Matt Abelman,Home Office,Central,Texas,Houston,Staples,Office Supplies,Paper,2014-10-20,10,2014,2014-10-24,10,2014,4,Second Class,29.472,3,0.2,5.89,19.53,9.9468
Gene Hale,Corporate,Central,Texas,Richardson,GE 30524EE4,Technology,Phones,2013-12-09,12,2013,2013-12-11,12,2013,2,First Class,1097.544,7,0.2,219.51,974.07,123.4737
Gene Hale,Corporate,Central,Texas,Richardson,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,2013-12-09,12,2013,2013-12-11,12,2013,2,First Class,190.92,5,0.6,114.55,338.88,-147.963
